areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2020-09-23,57,42085
overview,United Kingdom,K02000001,2020-09-22,40,42028
overview,United Kingdom,K02000001,2020-09-21,27,41988
overview,United Kingdom,K02000001,2020-09-20,32,41961
overview,United Kingdom,K02000001,2020-09-19,20,41929
overview,United Kingdom,K02000001,2020-09-18,24,41909
overview,United Kingdom,K02000001,2020-09-17,27,41885
overview,United Kingdom,K02000001,2020-09-16,26,41858
overview,United Kingdom,K02000001,2020-09-15,18,41832
overview,United Kingdom,K02000001,2020-09-14,21,41814
overview,United Kingdom,K02000001,2020-09-13,16,41793
overview,United Kingdom,K02000001,2020-09-12,18,41777
overview,United Kingdom,K02000001,2020-09-11,13,41759
overview,United Kingdom,K02000001,2020-09-10,13,41746
overview,United Kingdom,K02000001,2020-09-09,9,41733
overview,United Kingdom,K02000001,2020-09-08,9,41724
overview,United Kingdom,K02000001,2020-09-07,15,41715
overview,United Kingdom,K02000001,2020-09-06,8,41700
overview,United Kingdom,K02000001,2020-09-05,13,41692
overview,United Kingdom,K02000001,2020-09-04,7,41679
overview,United Kingdom,K02000001,2020-09-03,10,41672
overview,United Kingdom,K02000001,2020-09-02,9,41662
overview,United Kingdom,K02000001,2020-09-01,3,41653
overview,United Kingdom,K02000001,2020-08-31,9,41650
overview,United Kingdom,K02000001,2020-08-30,6,41641
overview,United Kingdom,K02000001,2020-08-29,5,41635
overview,United Kingdom,K02000001,2020-08-28,10,41630
overview,United Kingdom,K02000001,2020-08-27,8,41620
overview,United Kingdom,K02000001,2020-08-26,11,41612
overview,United Kingdom,K02000001,2020-08-25,12,41601
overview,United Kingdom,K02000001,2020-08-24,6,41589
overview,United Kingdom,K02000001,2020-08-23,14,41583
overview,United Kingdom,K02000001,2020-08-22,8,41569
overview,United Kingdom,K02000001,2020-08-21,7,41561
overview,United Kingdom,K02000001,2020-08-20,8,41554
overview,United Kingdom,K02000001,2020-08-19,3,41546
overview,United Kingdom,K02000001,2020-08-18,9,41543
overview,United Kingdom,K02000001,2020-08-17,12,41534
overview,United Kingdom,K02000001,2020-08-16,4,41522
overview,United Kingdom,K02000001,2020-08-15,12,41518
overview,United Kingdom,K02000001,2020-08-14,7,41506
overview,United Kingdom,K02000001,2020-08-13,9,41499
overview,United Kingdom,K02000001,2020-08-12,7,41490
overview,United Kingdom,K02000001,2020-08-11,10,41483
overview,United Kingdom,K02000001,2020-08-10,13,41473
overview,United Kingdom,K02000001,2020-08-09,8,41460
overview,United Kingdom,K02000001,2020-08-08,14,41452
overview,United Kingdom,K02000001,2020-08-07,12,41438
overview,United Kingdom,K02000001,2020-08-06,9,41426
overview,United Kingdom,K02000001,2020-08-05,6,41417
overview,United Kingdom,K02000001,2020-08-04,14,41411
overview,United Kingdom,K02000001,2020-08-03,15,41397
overview,United Kingdom,K02000001,2020-08-02,10,41382
overview,United Kingdom,K02000001,2020-08-01,11,41372
overview,United Kingdom,K02000001,2020-07-31,14,41361
overview,United Kingdom,K02000001,2020-07-30,10,41347
overview,United Kingdom,K02000001,2020-07-29,12,41337
overview,United Kingdom,K02000001,2020-07-28,12,41325
overview,United Kingdom,K02000001,2020-07-27,11,41313
overview,United Kingdom,K02000001,2020-07-26,16,41302
overview,United Kingdom,K02000001,2020-07-25,16,41286
overview,United Kingdom,K02000001,2020-07-24,7,41270
overview,United Kingdom,K02000001,2020-07-23,16,41263
overview,United Kingdom,K02000001,2020-07-22,17,41247
overview,United Kingdom,K02000001,2020-07-21,20,41230
overview,United Kingdom,K02000001,2020-07-20,12,41210
overview,United Kingdom,K02000001,2020-07-19,14,41198
overview,United Kingdom,K02000001,2020-07-18,14,41184
overview,United Kingdom,K02000001,2020-07-17,18,41170
overview,United Kingdom,K02000001,2020-07-16,13,41152
overview,United Kingdom,K02000001,2020-07-15,20,41139
overview,United Kingdom,K02000001,2020-07-14,21,41119
overview,United Kingdom,K02000001,2020-07-13,24,41098
overview,United Kingdom,K02000001,2020-07-12,13,41074
overview,United Kingdom,K02000001,2020-07-11,21,41061
overview,United Kingdom,K02000001,2020-07-10,21,41040
overview,United Kingdom,K02000001,2020-07-09,37,41019
overview,United Kingdom,K02000001,2020-07-08,24,40982
overview,United Kingdom,K02000001,2020-07-07,27,40958
overview,United Kingdom,K02000001,2020-07-06,35,40931
overview,United Kingdom,K02000001,2020-07-05,27,40896
overview,United Kingdom,K02000001,2020-07-04,33,40869
overview,United Kingdom,K02000001,2020-07-03,29,40836
overview,United Kingdom,K02000001,2020-07-02,43,40807
overview,United Kingdom,K02000001,2020-07-01,27,40764
overview,United Kingdom,K02000001,2020-06-30,47,40737
overview,United Kingdom,K02000001,2020-06-29,39,40690
overview,United Kingdom,K02000001,2020-06-28,45,40651
overview,United Kingdom,K02000001,2020-06-27,49,40606
